time,text,location,userid,screenname
2019-04-07 08:48:45,"b'@ganzupai @iAnkurSingh @kanhaiyakumar Dirty Lying Sanghis, he meant the free cylinder under the fake #Modi scheme, not regualar cylinder.'",India,2854003320,ScoopGuruNews
2019-04-07 08:47:20,"b""If BJP is all so secular, and feminist, then why isn't he sacked yet? \n\nThe thing is, these are few instances. There are many more.\n\n#LokSabhaElections2019\n#Modi \n#YogiAdityanath \n#Elections2019 \n#RememberWhenYouVote\n\n@akashbanerjee\n\n@myogiadityanath https://t.co/nDlK4yJipg""",India,1089898492489801729,AnannyaTayal
2019-04-07 08:41:39,"b""That's the level of debate from speakers of @INCIndia. Well that's pretty obvious when these speakers of @INCIndia have nothing to say than this kind of behaviour they always adopt to end the debate.\n#Modi #CongressMuktBharat #ModiLaoDeshBanao https://t.co/ZhPlP1OlU1""","Bhilai, India",1113309564177248256,pratik_yadu
2019-04-07 08:38:41,"b""A known pattern surfaced in election season by so called secular and tolerance gang who written a note not vote to #Modi a similar pattern as #AwardWapsi only in election season. Beware voters. Don't get influenced\n. Vote for future vote for #ModiLaoDeshBanao #IsBaarPhirModi""","Mumbai, India",990522248476819456,Shailendra9082
2019-04-07 08:37:46,"b'#India #Hinduism has become the most violent under the leadership of @PMOIndia  #Modi, says Congress leader and Bollywood actress @OfficialUrmila #UrmilaMatondkar https://t.co/oxyb4AqBQK'",Bangladesh,495664724,AlamMoshiul
2019-04-07 08:22:11,"b'Statists supporting #Modi have no issues with #unemployment, jingoism, #casteism, #demonetisation, basic economics and other vital issues.\n\nStatists supporting #RahulGandhi have no interest in #economics.\n\nThis #Elections2019 is another extension of dystopia and #socialism.'","Mumbai, India",132492054,jaiminism
2019-04-07 08:19:51,"b'@vivekoberoi @OmungKumar @sandip_Ssingh @sureshoberoi @anandpandit63 @TSeries All the best!! It\xe2\x80\x99s inspiring how you and the team stood by, inspite of all criticism!! Seems #modi already inspired you!!'","Pune, India",69068543,HarishSuhanda
2019-04-07 08:17:44,b'Mr.P.M in 2014  Ache din \n&amp;this time #chowkidar it is not good Mr.#Modi I listen your all speeches of 2019 #Elections2019  but only #Chowkidar word use but not ache din ayega.I known in India peoples are not that much practical they make decision through emotionally but not now',"Hyderabad, India",2776950025,the1real_saif
2019-04-07 08:17:38,"b'Patriotic voters should ponder:\n\n1)Isn\'t #Modi insulting #Kerala &amp; #Wayanad?\n\n2)Does it befit India\'s PM to discriminate btn ""majority"" &amp; ""minority"" constituencies? \n\n3)Would he\'ve said it if @RahulGandhi had chosen a Sikh-majority const?\n\n4)Isn\'t this anti-Muslim propaganda?2/2 https://t.co/Qugh6fuhug'","Bombay, India",358127438,SudheenKulkarni
2019-04-07 08:11:42,"b""What is the Demonetization results : Price inflation is under control : #Modi's big achievement \n\nPeople well educated can understand this but normal people will not understand this because of congress offering free items\n\n#BJP #MODI #IndiaWantsModiAgain #IndiaSaysNaMoAgain https://t.co/Xv11aUjTNW""",India,817659148976459776,orangetalkies
